# Mon Aug 19 20:39:36 +0200 2019
# initial_state: n =  52, m =    2.0 at lowest with  -1228.90765486 GHz, index =  1423
#  target_state: n =  52, m =   25.0 at lowest with  -1223.17212524 GHz, index =  2319
#   inter_state: n =  52, m =    1.0 at lowest with  -1229.09799319 GHz, index =  1374
#             t [µs]               init.               targ.             interm.
     0.0000000000000  1.000000000000E+00  0.000000000000E+00  0.000000000000E+00
     0.0000290579731  1.000000000060E+00  0.000000000000E+00  0.000000000000E+00
     0.0000613446098  1.000000000096E+00  0.000000000000E+00  0.000000000000E+00
     0.0000936312466  1.000000000148E+00  0.000000000000E+00  0.000000000000E+00
     0.0001259178834  1.000000000165E+00  0.000000000000E+00  0.000000000000E+00
     0.0001582045201  1.000000000147E+00  0.000000000000E+00  0.000000000000E+00
     0.0001904911569  1.000000000063E+00  0.000000000000E+00  0.000000000000E+00
     0.0002227777937  9.999999998120E-01  0.000000000000E+00  1.220166563193E-10
     0.0002550644304  9.999999992507E-01  0.000000000000E+00  2.718180928070E-10
     0.0002873510672  9.999999982173E-01  0.000000000000E+00  5.509142450055E-10
     0.0003196377039  9.999999963516E-01  0.000000000000E+00  1.036343622425E-09
     0.0003519243407  9.999999933192E-01  0.000000000000E+00  1.835353450088E-09
     0.0003842109775  9.999999884928E-01  0.000000000000E+00  3.092404308722E-09
     0.0004164976142  9.999999812252E-01  0.000000000000E+00  4.996889385614E-09
     0.0004487842510  9.999999705547E-01  0.000000000000E+00  7.791561813302E-09
     0.0004810708877  9.999999553879E-01  0.000000000000E+00  1.178165860900E-08
     0.0005133575245  9.999999342051E-01  0.000000000000E+00  1.734472434497E-08
     0.0005456441613  9.999999054300E-01  0.000000000000E+00  2.494111335855E-08
     0.0005779307980  9.999998671462E-01  0.000000000000E+00  3.512515445120E-08
     0.0006102174348  9.999998167474E-01  0.000000000000E+00  4.855700050694E-08
     0.0006425040715  9.999997517192E-01  0.000000000000E+00  6.601511992462E-08
     0.0006747907083  9.999996689571E-01  0.000000000000E+00  8.840942968927E-08
     0.0007070773451  9.999995647056E-01  0.000000000000E+00  1.167950606142E-07
     0.0007393639818  9.999994348753E-01  0.000000000000E+00  1.523867411342E-07
     0.0007716506186  9.999992739839E-01  0.000000000000E+00  1.965737827437E-07
     0.0008039372554  9.999990774419E-01  0.000000000000E+00  2.509356665721E-07
     0.0008362238921  9.999988398181E-01  0.000000000000E+00  3.172581978396E-07
     0.0008685105289  9.999985536804E-01  0.000000000000E+00  3.975502165446E-07
     0.0009007971656  9.999982118956E-01  0.000000000000E+00  4.940608782550E-07
     0.0009330838024  9.999978060904E-01  0.000000000000E+00  6.092974431605E-07
     0.0009653704392  9.999973271843E-01  0.000000000000E+00  7.460435981111E-07
     0.0009976570759  9.999967658802E-01  0.000000000000E+00  9.073782744944E-07
     0.0010299437127  9.999961108335E-01  0.000000000000E+00  1.096694928735E-06
     0.0010622303494  9.999953498562E-01  0.000000000000E+00  1.317721308630E-06
     0.0010945169862  9.999944703977E-01  0.000000000000E+00  1.574539672829E-06
     0.0011268036230  9.999934584976E-01  0.000000000000E+00  1.871607405927E-06
     0.0011590902597  9.999922988429E-01  0.000000000000E+00  2.213778066322E-06
     0.0011913768965  9.999909755066E-01  0.000000000000E+00  2.606322814184E-06
     0.0012236635332  9.999894700119E-01  0.000000000000E+00  3.054952193962E-06
     0.0012559501700  9.999877638648E-01  0.000000000000E+00  3.565838307327E-06
     0.0012882368068  9.999858362139E-01  0.000000000000E+00  4.145637250508E-06
     0.0013205234435  9.999836650418E-01  0.000000000000E+00  4.801511917765E-06
     0.0013528100803  9.999812264180E-01  0.000000000000E+00  5.541155033004E-06
     0.0013850967170  9.999784951054E-01  0.000000000000E+00  6.372812492318E-06
     0.0014173833538  9.999754441152E-01  0.000000000000E+00  7.305306912868E-06
     0.0014496699906  9.999720442062E-01  0.000000000000E+00  8.348061398192E-06
     0.0014819566273  9.999682646162E-01  0.000000000000E+00  9.511123523210E-06
     0.0015142432641  9.999640722042E-01  0.000000000000E+00  1.080518943345E-05
     0.0015465299009  9.999594318924E-01  0.000000000000E+00  1.224162816907E-05
     0.0015788165376  9.999543067869E-01  0.000000000000E+00  1.383250604234E-05
     0.0016111031744  9.999486569417E-01  0.000000000000E+00  1.559061112066E-05
     0.0016433898111  9.999424404066E-01  0.000000000000E+00  1.752947779492E-05
     0.0016756764479  9.999356127787E-01  0.000000000000E+00  1.966341141182E-05
     0.0017079630847  9.999281270184E-01  0.000000000000E+00  2.200751289660E-05
     0.0017402497214  9.999199331786E-01  0.000000000000E+00  2.457770333760E-05
     0.0017725363582  9.999109785941E-01  0.000000000000E+00  2.739074862739E-05
     0.0018048229949  9.999012083469E-01  0.000000000000E+00  3.046428401617E-05
     0.0018371096317  9.998905635184E-01  0.000000000000E+00  3.381683845776E-05
     0.0018693962685  9.998789827484E-01  0.000000000000E+00  3.746785904974E-05
     0.0019016829052  9.998664012937E-01  0.000000000000E+00  4.143773519304E-05
     0.0019339695420  9.998527511615E-01  0.000000000000E+00  4.574782261812E-05
     0.0019662561787  9.998379613354E-01  0.000000000000E+00  5.042046726702E-05
     0.0019985428155  9.998219567814E-01  0.000000000000E+00  5.547902882767E-05
     0.0020308294523  9.998046594002E-01  0.000000000000E+00  6.094790425609E-05
     0.0020631160890  9.997859873450E-01  0.000000000000E+00  6.685255067883E-05
     0.0020954027258  9.997658552575E-01  0.000000000000E+00  7.321950838015E-05
     0.0021276893626  9.997441738994E-01  0.000000000000E+00  8.007642309676E-05
